                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6537,                 3.5468,                 4.1802,                0.00419,                  0.402,                0.03086,                0.00774,                 3.4332,                 3.7219,                 4.1357,             0.00064762,             0.00064762,             0.00064762
                      2,                 3.5828,                 3.3938,                  3.972,                0.00444,                  0.426,                0.01329,                0.00453,                 3.4208,                  3.669,                 4.0868,              0.0012709,              0.0012709,              0.0012709
                      3,                 3.4372,                 3.3477,                 3.6985,                0.00809,                  0.062,                0.00597,                0.00219,                  3.226,                 3.8815,                 3.8327,              0.0018502,              0.0018502,              0.0018502
                      4,                 3.2216,                 3.2977,                  3.501,                0.00531,                   0.51,                0.00635,                0.00215,                  3.064,                 4.2566,                 3.5456,               0.001802,               0.001802,               0.001802
                      5,                 3.0696,                 3.2566,                 3.3609,                0.00647,                  0.032,                0.00274,                0.00083,                 2.9842,                 8.2797,                 3.4641,               0.001736,               0.001736,               0.001736
                      6,                 2.9361,                 3.2147,                 3.2512,                0.04495,                  0.112,                0.02006,                0.00584,                 2.9039,                 4.3213,                 3.3414,                0.00167,                0.00167,                0.00167
                      7,                 2.8669,                 3.1698,                  3.139,                0.02798,                  0.038,                0.01293,                0.00363,                 2.8533,                 4.0883,                 3.3409,               0.001604,               0.001604,               0.001604
                      8,                 2.7981,                 3.1332,                 3.0889,                0.06891,                   0.16,                0.03317,                0.01058,                 2.8225,                 4.8363,                 3.2717,               0.001538,               0.001538,               0.001538
                      9,                 2.6969,                 3.0661,                 3.0109,                0.11793,                   0.13,                0.04779,                0.01374,                 2.6555,                 3.4646,                 3.0683,               0.001472,               0.001472,               0.001472
                     10,                 2.6265,                  3.046,                 2.9607,                0.06266,                  0.238,                0.04038,                0.01162,                 2.5823,                 3.5241,                 3.0763,               0.001406,               0.001406,               0.001406
                     11,                 2.5929,                 3.0199,                 2.9193,                0.06286,                  0.116,                0.03152,                0.01183,                 2.6618,                 3.9751,                 3.0545,                0.00134,                0.00134,                0.00134
                     12,                 2.5454,                 2.9607,                 2.8392,                0.13749,                   0.17,                  0.062,                0.01928,                 2.5148,                 3.2601,                 2.9689,               0.001274,               0.001274,               0.001274
                     13,                 2.5183,                 2.9429,                 2.8338,                0.12479,                  0.174,                0.05518,                0.01915,                 2.4944,                 3.5972,                 2.9648,               0.001208,               0.001208,               0.001208
                     14,                 2.4426,                 2.9167,                 2.7983,                0.13611,                  0.192,                0.07547,                0.02558,                 2.4185,                 3.4387,                 2.8518,               0.001142,               0.001142,               0.001142
                     15,                 2.3895,                 2.8775,                 2.7503,                0.10653,                  0.084,                0.03804,                0.01248,                 2.4144,                 3.2189,                 2.9558,               0.001076,               0.001076,               0.001076
                     16,                 2.4032,                 2.8571,                 2.7181,                0.15267,                  0.114,                0.06494,                0.01925,                 2.4649,                 3.4911,                 2.8715,                0.00101,                0.00101,                0.00101
                     17,                 2.3712,                 2.7932,                  2.673,                0.15749,                  0.224,                0.09383,                0.03156,                 2.3108,                 3.1408,                  2.754,               0.000944,               0.000944,               0.000944
                     18,                 2.3146,                 2.7664,                 2.6243,                0.16476,                  0.206,                0.10414,                0.04005,                 2.3042,                 3.1438,                 2.7323,               0.000878,               0.000878,               0.000878
                     19,                 2.2578,                 2.7453,                 2.6177,                0.19996,                   0.17,                0.10507,                0.03744,                 2.2746,                 3.0337,                 2.7384,               0.000812,               0.000812,               0.000812
                     20,                 2.2199,                 2.6989,                 2.5724,                0.16794,                  0.204,                0.09437,                0.03487,                  2.206,                 2.9933,                 2.7047,               0.000746,               0.000746,               0.000746
                     21,                 2.2609,                  2.894,                 2.5864,                 0.1856,                  0.204,                0.11551,                0.04476,                 2.2048,                  3.036,                 2.6706,                0.00068,                0.00068,                0.00068
                     22,                 2.2027,                 2.7923,                 2.5675,                0.31408,                   0.22,                0.17693,                0.07101,                 2.1242,                 2.7987,                 2.5807,               0.000614,               0.000614,               0.000614
                     23,                  2.189,                 2.7472,                 2.5618,                0.28291,                  0.208,                0.16916,                0.06255,                  2.144,                 2.8462,                 2.6018,               0.000548,               0.000548,               0.000548
                     24,                 2.1628,                  2.732,                  2.527,                 0.2878,                  0.242,                 0.1842,                0.07064,                 2.1282,                 2.8047,                 2.5543,               0.000482,               0.000482,               0.000482
                     25,                 2.1455,                 2.6875,                 2.5135,                0.29257,                  0.242,                0.20661,                0.08431,                 2.0629,                 2.7591,                  2.488,               0.000416,               0.000416,               0.000416
                     26,                 2.1295,                 2.6656,                 2.4861,                0.35312,                   0.23,                0.19925,                0.08347,                 2.0734,                 2.7626,                 2.5215,                0.00035,                0.00035,                0.00035
                     27,                 2.0974,                 2.6256,                 2.4565,                0.34683,                  0.246,                0.21927,                0.09741,                 2.0442,                 2.7113,                 2.4922,               0.000284,               0.000284,               0.000284
                     28,                 2.0877,                 2.5936,                 2.4512,                 0.3789,                0.25622,                0.23615,                0.10432,                 2.0303,                 2.6456,                 2.4715,               0.000218,               0.000218,               0.000218
                     29,                 2.1074,                 2.5589,                 2.4489,                 0.3742,                  0.242,                0.23358,                0.10543,                 2.0223,                 2.6433,                 2.4567,               0.000152,               0.000152,               0.000152
                     30,                 2.0446,                 2.5563,                 2.3828,                0.35954,                   0.27,                0.23372,                0.10889,                 2.0096,                 2.6173,                 2.4461,                8.6e-05,                8.6e-05,                8.6e-05
